"CNPJ","NOME_DA_INSTITUIÇÃO","SEGMENTO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICIPIO","UF","DDD","FONE","CART_COMERCIAL","COD_COMPENSAÇÃO","EMAIL","ENDEREÇO_ELETRONICO","ano","mes","tipo"
"3532415.000000","BANCO CR2 S/A","Bancos Comerciais","RUA DO MERCADO, Nº 11","17. ANDAR E 24 ANDAR","CENTRO","20010120.000000","RIO DE JANEIRO","RJ","21.000000","38062900.000000","SIM","75.000000","CR2@CR2.COM.BR","WWW.CR2.COM.BR","2007","10","bancos"
"253448.000000","BANCO POTTENCIAL S.A.","Bancos Comerciais","AV. AFONSO PENA, 4.100","12º ANDAR","CRUZEIRO","30130009.000000","BELO HORIZONTE","MG","31.000000","21217788.000000","SIM","735.000000",NA,"WWW.POTTENCIAL.COM.BR","2007","10","bancos"
"997185.000000","BANCO BM&F DE SERVIÇOS DE LIQUIDAÇÃO E CUSTÓDIA S.A.","Bancos Comerciais","PRAÇA ANTONIO PRADO, 48 - 2º ANDAR",NA,"CENTRO","1010901.000000","SAO PAULO","SP","11.000000","31192000.000000","SIM","96.000000","BANCOBMF@BMF.COM.BR","WWW.BMF.COM.BR","2007","10","bancos"
"2318507.000000","BANCO KEB DO BRASIL S.A.","Bancos Comerciais","AV.DR. CHUCRI ZAIDAN, 940","18º ANDAR - CONJUNTO 181","VILA CORDEIRO","4583110.000000","SAO PAULO","SP","11.000000","51881122.000000","SIM","757.000000","SUNG.KIM@BANCOKEB.COM.BR",NA,"2007","10","bancos"
"3323840.000000","BANCO ALFA S.A.","Bancos Comerciais","ALAMEDA SANTOS, 466","4º ANDAR","CERQUEIRA CESAR","1418000.000000","SAO PAULO","SP","11.000000","31755866.000000","SIM","25.000000","ALFANET@ALFA.COM.BR","WWW.ALFANET.COM.BR","2007","10","bancos"
"54403563.000000","BANCO ARBI S.A.","Bancos Comerciais","RUA DIAS FERREIRA, 190","SALA 201, PARTE","LEBLON","22431050.000000","RIO DE JANEIRO","RJ","21.000000","25291800.000000","SIM","213.000000","BANCO@BANCOARBI.COM.BR","WWW.BANCOARBI.COM.BR","2007","10","bancos"
"4902979.000000","BANCO DA AMAZONIA S.A.","Bancos Comerciais","AV. PRESIDENTE VARGAS, 800",NA,"CAMPINA","66017000.000000","BELEM","PA","91.000000","40083888.000000","SIM","3.000000","PRESI@BANCOAMAZONIA.COM.BR","WWW.BANCOAMAZONIA.COM.BR","2007","10","bancos"
"61024352.000000","BANCO INDUSVAL S.A.","Bancos Comerciais","RUA BOA VISTA, 356 - 7. ANDAR",NA,"CENTRO","1014000.000000","SAO PAULO","SP","11.000000","33156777.000000","SIM","653.000000",NA,NA,"2007","10","bancos"
"33923798.000000","BANCO MÁXIMA S.A.","Bancos Comerciais","AVENIDA  ATLÂNTICA, Nº 1.130","9º ANDAR - PARTE","COPACABANA","22021000.000000","RIO DE JANEIRO","RJ","21.000000","38201700.000000","SIM","243.000000","JURIDICO@BANCOMAXIMA.COM.BR","WWW.BANCOMAXIMA.COM.BR","2007","10","bancos"
"61820817.000000","BANCO PAULISTA S.A.","Bancos Comerciais","AV.BRIGADEIRO FARIA LIMA, 1355","2 ANDAR","JARDIM PAULISTANO","1451903.000000","SAO PAULO","SP","11.000000","32992000.000000","SIM","611.000000","FALECONOSCO@BANCOPAULISTA.COM.BR","WWW.BANCOPAULISTA.COM.BR","2007","10","bancos"
"68900810.000000","BANCO RENDIMENTO S.A.","Bancos Comerciais","AV. BRIGADEIRO FARIA LIMA, 2092","18º E 19º ANDARES","JARDIM PAULISTANO","1451905.000000","SAO PAULO","SP","11.000000","34570700.000000","SIM","633.000000","RENDIMENTO@RENDIMENTO.COM.BR","WWW.RENDIMENTO.COM.BR","2007","10","bancos"
"83876003.000000","BANCO DO ESTADO DE SANTA CATARINA S.A.","Bancos Comerciais","PRAÇA XV DE NOVEMBRO, 329","CENTRO","CENTRO","88010901.000000","FLORIANOPOLIS","SC","48.000000","32399000.000000","SIM","27.000000","OUVIDORIA@BESC.COM.BR","HTTP://WWW.BESC.COM.BR/","2007","10","bancos"
"2038232.000000","BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB","Bancos Comerciais Cooperativo","SCS QUADRA 06, BL.A, N. 50, ED. SOFIA, 4. ANDAR",NA,"ASA SUL","70306902.000000","BRASILIA","DF","61.000000","2175200.000000","SIM","756.000000","BANCOOB@BANCOOB.COM.BR","WWW.BANCOOB.COM.BR","2007","10","bancos"
"33042151.000000","BANCO DE LA NACION ARGENTINA","Bancos Comerciais Estrangeiro - Filial no pais ","AV. PAULISTA, 2319",NA,"CERQUEIRA CESAR","1311300.000000","SAO PAULO","SP","11.000000","30831555.000000","SIM","300.000000","CONTACTOSP@BNABR.COM.BR",NA,"2007","10","bancos"
