"CNPJ","NOME_INSTITUIÇÃO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICIPIO","UF","DDD","FONE","EMAIL","ENDEREÇO_ELETRONICO","ano","mes","tipo"
"6043050.000000","BB ADMINISTRADORA DE CONSORCIOS S.A.","SBS, QD. 01, BL. A, 7º ANDAR (PARTE)",NA,"SETOR BANCÁRIO SUL","70073900.000000","BRASILIA","DF","61.000000","33101300.000000","DIREV@BB.COM.BR",NA,"2008","04","consorcios"
"5794450.000000","DESTAQUE ADMINISTRADORA DE CONSORCIOS LTDA","AV. DR. PRIDENTE DE MORAES, 950","1º PISO","VILA AMORIM","8610005.000000","BARUERI","SP","11.000000","47235300.000000","CONSORCIO@GRUPODESTAQUE.COM.BR","WWW.GRUPODESTAQUE.COM.BR","2008","04","consorcios"
"5395814.000000","NOVOTEMPO ADMINISTRADORA DE CONSORCIOS LTDA.","AV. MÁRIO LEAL FERREIRA, 1350",NA,"BROTAS","40285600.000000","SALVADOR","BA","71.000000","21036099.000000","NOVOTEMPOADM@HOTMAIL.COM/CONSORCIONOVOTEMPO@GLOBO.COM",NA,"2008","04","consorcios"
"6044551.000000","ADMINISTRADORA DE CONSORCIO NACIONAL GAZIN LTDA","RUA DAS INDUSTRIAS S/N","S/N - MATRIZ MÓVEIS GAZIN","CENTRO","87485000.000000","DOURADINA","PR","44.000000","6638001.000000","RUICONSORCIO@GAZIN.COM.BR","WWW.CONSORCIOGAZIN.COM.BR","2008","04","consorcios"
"6058543.000000","FACIL ADMINISTRADORA DE CONSORCIOS LTDA","AV. DO CONTORNO, 1240","BAIRRO NOSSA SENHORA DE FÁTIMA","NOSSA SRA. DE FÁTIMA","39550000.000000","TAIOBEIRAS","MG","38.000000","38451420.000000","CONSORCIO_FACIL@YAHOO.COM.BR",NA,"2008","04","consorcios"
"7808907.000000","ADMINISTRADORA DE CONSORCIOS SICREDI LTDA","AVENIDA ASSIS BRASIL, 3940","9º ANDAR","JARDIM LINDÓIA","91010003.000000","PORTO ALEGRE","RS","51.000000","33584777.000000","ADM_CONSORCIO@SICREDI.COM.BR","WWW.SICREDI.COM.BR","2008","04","consorcios"
"6181431.000000","ITAUNA ADMINISTRADORA DE CONSORCIO LTDA","AV. PRESIDENTE TANCREDO NEVES, 1.150",NA,"ESPLANADA","35300106.000000","CARATINGA","MG","33.000000","33217200.000000","JONAS@CONTROLLER-MG.COM.BR",NA,"2008","04","consorcios"
"5126027.000000","MOTOASA - ADMINISTRADORA DE CONSÓRCIO LTDA.","AV. FRANCISCO JUNQUEIRA, 3410","ALA B","JARDIM AMÉRICA","14020000.000000","RIBEIRAO PRETO","SP","16.000000","21111000.000000","CONTABIL@MOTOASA.COM.BR","WWW.MOTOASA.COM.BR","2008","04","consorcios"
"42421776.000000","FIAT ADMINISTRADORA DE CONSÓRCIOS LTDA.","ALAMEDA PEDRO CALIL, 43",NA,"VILA DAS ACÁCIAS","8557105.000000","POA","SP","11.000000","50191122.000000",NA,NA,"2008","04","consorcios"
"6046109.000000","BRISA ADMINISTRADORA DE CONSORCIOS LTDA","RUA RIO GRANDE DO SUL, 448",NA,"LOURDES","35030580.000000","GOVERNADOR VALADARES","MG","33.000000","32124200.000000","CONSORCIOBRISA@CONSORCIOBRISA.COM.BR",NA,"2008","04","consorcios"
"6055245.000000","SANTANDER ADMINISTRADORA DE CONSORCIOS LTDA","RUA AMADOR BUENO, 474",NA,"SANTO AMARO","4752005.000000","SAO PAULO","SP","11.000000","56357191.000000","JURIDSOCIETARIO@SANTANDERBANESPA.COM.BR","WWW.SANTANDERBANESPA.COM.BR","2008","04","consorcios"
"5997050.000000","MINAS BRASÍLIA ADMINISTRADORA DE CONSÓRCIOS LTDA","RUA JÚLIO PEREIRA DA SILVA, 55","LOJA 205","CIDADE NOVA","31170360.000000","BELO HORIZONTE","MG","31.000000","34846372.000000","BSRODRIGO@HOTMAIL.COM",NA,"2008","04","consorcios"
