"CNPJ","NOME_DA_INSTITUIÇÃO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICÍPIO","UF","DDD","FONE","TIPO_COOPERATIVA","CLASSE_COOPER","ENDEREÇO_ELETRÔNICO","SÍTIO_NA_INTERNET","ano","mes","tipo"
"58338.000000","COOPERATIVA DE CREDITO RURAL DE BOM JARDIM LTDA","RUA NILO PECANHA, 347",NA,"CENTRO","28660000.000000","BOM JARDIM","RJ","22.000000","25662197.000000","Crédito Rural","Singular","BOMCREDI@ALTAREDE.COM.BR",NA,"2007","10","cooperativas"
"68389.000000","UNICRED CRATEUS - COOPERATIVA DE CRÉDITO DE PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES DA REGIÃO DE CRATEUS LTDA","RUA SANTOS DUMONT,319",NA,"CENTRO","63700000.000000","CRATEUS","CE","88.000000","36910774.000000","Crédito Mútuo - Empreendedores - Micros e Pequenos","Singular","UNICREDCRATEUS@YAHOO.COM.BR",NA,"2007","10","cooperativas"
"68987.000000","COOPERATIVA DE CREDITO RURAL DE ARAGUARI LTDA. - SICOOB ARACREDI","RUA JAIME GOMES","364","CENTRO","38440244.000000","ARAGUARI","MG","34.000000","32422355.000000","Crédito Rural","Singular","SICOOB.ARACREDI@GMAIL.COM","WWW.SICOOBARACREDI.COM.BR","2007","10","cooperativas"
"71717.000000","COOPERATIVA DE CRÉDITO RURAL BRUMADENSE LTDA","AV ANTONIO MOURAO GUIMARAES, 176","PREDIO","CENTRO","46100000.000000","BRUMADO","BA","77.000000","4414093.000000","Crédito Rural","Singular","CREDIB@BRUMADONET.COM.BR",NA,"2007","10","cooperativas"
"75847.000000","COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE E DE CONTABILISTAS DE CRICIÚMA LTDA","RUA ANTONIO DE LUCCA, 191",NA,"PIO CORREA","88811503.000000","CRICIUMA","SC","48.000000","4370340.000000","Crédito Mútuo","Singular","UNICRED-CRI@UNICRED-CRI.COM.BR","WWW.UNICRED-CRI.COM.BR","2007","10","cooperativas"
"106180.000000","CENTRAL DAS COOPERATIVAS DE CRÉDITO DOS ESTADOS DE MATO GROSSO E MATO GROSSO DO SUL","AVENIDA XV DE NOVEMBRO, 734","2 ANDAR","PORTO","78020301.000000","CUIABA","MT","65.000000","39011120.000000","Crédito Mútuo","Central","CENTRAL@SICOOBMTMS.COOP.BR","WWW.SICOOBMTMS.COOP.BR","2007","10","cooperativas"
"129753.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SOMART LTDA.","USINA JATIBOCA, S/N","PARADA PAULISTA","ZONA RURAL","35380000.000000","URUCANIA","MG","31.000000","38763075.000000","Crédito Mútuo","Singular","CREDSOMA@JATIBOCA.COM.BR",NA,"2007","10","cooperativas"
"141155.000000","COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS EMPREGADOS DAS EMPRESAS DE TRANSPORTES COLETIVOS RODOVIÁRIOS DE PASSAGEIROS DO GRANDE RIO LTDA","RUA JOAQUIM CAMPOS, 226",NA,"ITAUNA","24461570.000000","SAO GONCALO","RJ","21.000000","26013985.000000","Crédito Mútuo","Singular","COOPERITA@COOPERITA.COM.BR/CLAUDIA@COOPERITA.COM.BR","WW.COOPERITA.COM.BR","2007","10","cooperativas"
"177554.000000","COOPERATIVA DE CREDITO RURAL DO VALE DO PARAIBA LTDA.","RUA NILO PECANHA,39-CONDOMINIO-ED.DONA CONSTANCIA",NA,"CAMPOS ELISIOS","27542210.000000","RESENDE","RJ","24.000000","33544872.000000","Crédito Rural","Singular",NA,NA,"2007","10","cooperativas"
"184068.000000","COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DE SAÚDE DE NÍVEL SUPERIOR E OUTROS SEGMENTOS DE CRÉDITO DO ESTADO DE MINAS GERAIS LTDA - UNICRED CENTRAL (MG)","RUA PADRE MARINHO 37","11º ANDAR","SANTA EFIGENIA","30140040.000000","BELO HORIZONTE","MG","31.000000","35161400.000000","Crédito Mútuo","Central","SUPERVISAO@UNICREDMG.COM.BR","WWW.UNICREDMG.COM.BR","2007","10","cooperativas"
"204963.000000","COOPERATIVA DE CREDITO RURAL SEARA - CREDISEARA","AVENIDA BEIRA RIO,06",NA,"CENTRO","89770000.000000","SEARA","SC","49.000000","34522204.000000","Crédito Rural","Singular","SEARA@CRESOLCENTRAL.COM.BR",NA,"2007","10","cooperativas"
"242375.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS OPERADORES DE TURISMO DA REGIÃO METROPOLITANA DE BELO HORIZONTE LTDA.","AV. AMAZONAS 491","LOJA 08 SALA 212 GALERIA DANTES","CENTRO","30180000.000000","BELO HORIZONTE","MG","31.000000","32720548.000000","Crédito Mútuo","Singular","CREDITUR@WAYMAIL.COM.BR",NA,"2007","10","cooperativas"
"254908.000000","COOPERATIVA DE CREDITO RURAL DE VOLTA REDONDA LTDA","AV.SAVIO COTA DE ALMEIDA GAMA, 2141",NA,"RETIRO","27281421.000000","VOLTA REDONDA","RJ","24.000000","33468884.000000","Crédito Rural","Singular","CREDIACOVR@UOL.COM.BR",NA,"2007","10","cooperativas"
"254909.000000","COOPERATIVA DE CREDITO RURAL DE VASSOURAS LTDA.","PRAÇA PROMOTOR ATAÍDE PARREIRAS, 18",NA,"CENTRO","27700000.000000","VASSOURAS","RJ","24.000000","24712090.000000","Crédito Rural","Singular","CREDIVALE@UOL.COM.BR",NA,"2007","10","cooperativas"
"259231.000000","COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NIVEL SUPERIOR DA SAÚDE DO LITORAL PAULISTA - UNICRED DO LITORAL PAULISTA","R DR CARVALHO DE MENDONCA, 189","1º ANDAR","ENCRUZILHADA","11070100.000000","SANTOS","SP","13.000000","32298855.000000","Crédito Mútuo","Singular","USANTOS@BIGNET.COM.BR","WWW.UNICREDSANTOS.COM.BR","2007","10","cooperativas"
