"CNPJ","NOME_CONGLOMERADO","NOME_INSTITUICAO","TIPO_PARTICIPACAO","tipo","codigo"
28195667,"ABC-BRASIL","BANCO ABC BRASIL S.A.                                                                                                                                                                                   ","LIDER                                                       ","conglomerados",41856
28195667,"ABC-BRASIL","BANCO ABC BRASIL S.A.                                                                                                                                                                                   ","LIDER                                                       ","conglomerados",41856
28195667,"ABC-BRASIL","BANCO ABC BRASIL S.A.                                                                                                                                                                                   ","LIDER                                                       ","conglomerados",41856
33817677,"ABC-BRASIL","ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                          ","PARTICIPANTE                                                ","conglomerados",41856
33817677,"ABC-BRASIL","ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                          ","PARTICIPANTE                                                ","conglomerados",41856
33817677,"ABC-BRASIL","ABC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                          ","PARTICIPANTE                                                ","conglomerados",41856
59494443,"ABC-BRASIL","ABC HOLDINGS LIMITADA                                                                                                                                                                                   ","HOLDING NÃO IF                                              ","conglomerados",41856
59494443,"ABC-BRASIL","ABC HOLDINGS LIMITADA                                                                                                                                                                                   ","HOLDING NÃO IF                                              ","conglomerados",41856
59494443,"ABC-BRASIL","ABC HOLDINGS LIMITADA                                                                                                                                                                                   ","HOLDING NÃO IF                                              ","conglomerados",41856
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
60770336,"ALFA","BANCO ALFA DE INVESTIMENTO S.A.                                                                                                                                                                         ","LIDER                                                       ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
46570800,"ALFA","ALFA ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                                        ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
62178421,"ALFA","ALFA CORRETORA DE CAMBIO E VALORES MOBILIARIOS S.A.                                                                                                                                                     ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
3323840,"ALFA","BANCO ALFA S.A.                                                                                                                                                                                         ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
17167412,"ALFA","FINANCEIRA ALFA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
4590759,"ALFA","AFL ADMINISTRACAO, PARTICIPACOES E REPRESENTACOES LTDA.                                                                                                                                                 ","HOLDING NÃO IF                                              ","conglomerados",51293
33861840,"APLICAP","BANCO APLICAP S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","conglomerados",50366
33861840,"APLICAP","BANCO APLICAP S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","conglomerados",50366
36210052,"APLICAP","APLICAP S.A. CORRETORA DE VALORES MOBILIARIOS                                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",50366
36210052,"APLICAP","APLICAP S.A. CORRETORA DE VALORES MOBILIARIOS                                                                                                                                                           ","PARTICIPANTE                                                ","conglomerados",50366
2038232,"BANCOOB","BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB                                                                                                                                                              ","LIDER                                                       ","conglomerados",51750
2038232,"BANCOOB","BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB                                                                                                                                                              ","LIDER                                                       ","conglomerados",51750
2038232,"BANCOOB","BANCO COOPERATIVO DO BRASIL S.A. - BANCOOB                                                                                                                                                              ","LIDER                                                       ","conglomerados",51750
7397614,"BANCOOB","BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",51750
7397614,"BANCOOB","BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",51750
7397614,"BANCOOB","BANCOOB DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",51750
28127603,"BANESTES","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                                                                                                                                         ","LIDER/HOLDING                                               ","conglomerados",30159
28127603,"BANESTES","BANESTES S.A. BANCO DO ESTADO DO ESPIRITO SANTO                                                                                                                                                         ","LIDER/HOLDING                                               ","conglomerados",30159
28156057,"BANESTES","BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A                                                                                                                                             ","PARTICIPANTE                                                ","conglomerados",30159
28156057,"BANESTES","BANESTES DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S/A                                                                                                                                             ","PARTICIPANTE                                                ","conglomerados",30159
33884941,"BANIF","BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.                                                                                                                                                   ","LIDER/HOLDING                                               ","conglomerados",20255
33884941,"BANIF","BANIF - BANCO INTERNACIONAL DO FUNCHAL (BRASIL), S.A.                                                                                                                                                   ","LIDER/HOLDING                                               ","conglomerados",20255
33753740,"BANIF","BANIF BANCO DE INVESTIMENTO (BRASIL) S.A.                                                                                                                                                               ","PARTICIPANTE                                                ","conglomerados",20255
33753740,"BANIF","BANIF BANCO DE INVESTIMENTO (BRASIL) S.A.                                                                                                                                                               ","PARTICIPANTE                                                ","conglomerados",20255
7554076,"BANIF","BANIF CORRETORA DE VALORES E CAMBIO S.A.                                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",20255
7554076,"BANIF","BANIF CORRETORA DE VALORES E CAMBIO S.A.                                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",20255
10781532,"BANORTE","BANCO BANORTE S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","conglomerados",10038
10781532,"BANORTE","BANCO BANORTE S.A.                                                                                                                                                                                      ","LIDER/HOLDING                                               ","conglomerados",10038
34260158,"BANORTE","BANORTE LEASING-ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                             ","PARTICIPANTE                                                ","conglomerados",10038
34260158,"BANORTE","BANORTE LEASING-ARRENDAMENTO MERCANTIL S.A.                                                                                                                                                             ","PARTICIPANTE                                                ","conglomerados",10038
92702067,"BANRISUL","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.                                                                                                                                                               ","LIDER/HOLDING                                               ","conglomerados",30173
92702067,"BANRISUL","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.                                                                                                                                                               ","LIDER/HOLDING                                               ","conglomerados",30173
92702067,"BANRISUL","BANCO DO ESTADO DO RIO GRANDE DO SUL S.A.                                                                                                                                                               ","LIDER/HOLDING                                               ","conglomerados",30173
92692979,"BANRISUL","BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS                                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",30173
92692979,"BANRISUL","BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS                                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",30173
92692979,"BANRISUL","BANRISUL S.A. - ADMINISTRADORA DE CONSÓRCIOS                                                                                                                                                            ","PARTICIPANTE                                                ","conglomerados",30173
93026847,"BANRISUL","BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",30173
93026847,"BANRISUL","BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",30173
93026847,"BANRISUL","BANRISUL S/A - CORRETORA DE VALORES MOBILIARIOS E CAMBIO                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",30173
61146577,"BARCLAYS","BANCO BARCLAYS S.A.                                                                                                                                                                                     ","LIDER/HOLDING                                               ","conglomerados",NA
11634773,"BARCLAYS","BARCLAYS CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.                                                                                                                                                ","PARTICIPANTE                                                ","conglomerados",NA
