"CNPJ","NOME_DA_INSTITUIÇÃO","SEGMENTO","ENDEREÇO","COMPLEMENTO","BAIRRO","CEP","MUNICÍPIO","UF","DDD","FONE","ENDEREÇO_ELETRÔNICO","SÍTIO_NA_INTERNET","ano","mes","tipo"
"66670.000000","BEM - DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA"," Sociedades Distribuidoras de TVM","CIDADE DE DEUS, PRÉDIO NOVÍSSIMO","4º ANDAR","VILA YARA","6029900.000000","OSASCO","SP","11.000000","36844705.000000","4260.GUILHERME@BRADESCO.COM.BR",NA,"2007","10","sociedades"
"87530.000000","ORBIVAL CORRETORA DE CAMBIO E VALORES MOBILIARIOS LTDA","Sociedades Corretoras de TVM","RUA URUGUAI, 300/10. ANDAR",NA,"CENTRO","90010140.000000","PORTO ALEGRE","RS","51.000000","32286070.000000","ORBIVAL.POA@ORBIVAL.COM.BR",NA,"2007","10","sociedades"
"122327.000000","SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS"," Sociedades de Crédito  Financiamento e Investimento","RUA PRESIDENTE NEREU RAMOS, 19 - 8.AND - S.801/802","CENTRO COMERCIAL IRMAOS DAUX","CENTRO","88015010.000000","FLORIANOPOLIS","SC","48.000000","39523952.000000","CONTABILIDADE@SANTINVEST.COM.BR","WWW.SANTINVEST.COM.BR","2007","10","sociedades"
"122328.000000","SANTINVEST S.A. DISTRIBUIDORA DE TIT. E VALORES MOBILIARIOS"," Sociedades Distribuidoras de TVM","RUA PRESIDENTE NEREU RAMOS, 19 - 8.AND - S.801/802","CENTRO COMERCIAL IRMAOS DAUX","CENTRO","88015010.000000","FLORIANOPOLIS","SC","48.000000","39523952.000000","CONTABILIDADE@SANTINVEST.COM.BR","WWW.SANTINVEST.COM.BR","2007","10","sociedades"
"162760.000000","DAIMLERCHRYSLER LEASING ARRENDAMENTO MERCANTIL S.A."," Sociedades de Arrendamento Mercantil ","ALAMEDA RIO NEGRO 585 2 ANDAR SALAS 25,26,27 E 28","ED JAÇARI","ALPHAVILLE","6455000.000000","BARUERI","SP","11.000000","37419734.000000","CARLOS.GODOY@DAIMLERCHRYSLER.COM",NA,"2007","10","sociedades"
"169331.000000","FINABANK CORRETORA DE CÂMBIO, TÍTULOS E VALORES MOBILIÁRIOS LTDA","Sociedades Corretoras de TVM","R LIBERO BADARO, 300, 2 AO 7 ANDAR",NA,"CENTRO","1008000.000000","SAO PAULO","SP","11.000000","33650613.000000","CONTABILIDADE@FINABANK.COM.BR","WWW.FINABANK.COM.BR","2007","10","sociedades"
"250699.000000","AGK CORRETORA DE CAMBIO S.A."," Sociedades Corretoras de Câmbio","RUA BARAO DE ITAPETININGA, 298 - 1. E 2.. ANDARES",NA,"REPUBLICA","1042000.000000","SAO PAULO","SP","11.000000","31237166.000000","AGK@AGKCORRETORA.COM.BR","WWW.AGKCORRETORA.COM.BR","2007","10","sociedades"
"329598.000000","FOCO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA."," Sociedades Distribuidoras de TVM","PRAIA DE BOTAFOGO Nº 518","10º ANDAR - PARTE","BOTAFOGO","22250040.000000","RIO DE JANEIRO","RJ","21.000000","35251010.000000","FOCO@FOCOINVESTIMENTOS.COM.BR","WWW.FOCOINVESTIMENTOS.COM.BR","2007","10","sociedades"
"336036.000000","COINVALORES CORRETORA DE CÂMBIO E VALORES MOBILIÁRIOS LTDA.","Sociedades Corretoras de TVM","AV.BRIGADEIRO FARIA LIMA,1.461","10º ANDAR - TORRE SUL","PINHEIROS","1451904.000000","SAO PAULO","SP","11.000000","30354141.000000","COIN@COINVALORES.COM.BR","WWW.COINVALORES.COM.BR","2007","10","sociedades"
"411939.000000","FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO"," Sociedades de Crédito  Financiamento e Investimento","RUA RANGEL PESTANA, 681 E 691 SALA 07",NA,"CENTRO","13201000.000000","JUNDIAI","SP","11.000000","45835703.000000","FINAMAX@FINAMAX.COM.BR",NA,"2007","10","sociedades"
